t_s,lon,lat,speed_m_s,course_deg,v_east_m_s,v_north_m_s
265.7,98.3186930428572,61.34962259719671,19.676927386108616,95.16499628780383,19.59703085421781,-1.7713986160732969
265.8,98.31872975282764,61.34962100511505,19.670138708063096,95.1720873873279,19.590050432971683,-1.7732120087761793
265.9,98.31876644980484,61.34961941137418,19.663448890333004,95.17935414778992,19.583162877739255,-1.7750926642497886
266.0,98.31880313396307,61.34961781591434,19.656858085725318,95.18679227883928,19.576368453402214,-1.777039104517233
266.1,98.31883980547708,61.34961621867712,19.65036645548193,95.19439749772113,19.56966743290789,-1.7790498588048962
266.2,98.3188764645221,61.349614619605376,19.64397416928176,95.2021655296125,19.56306009730705,-1.7811234635929993
266.3,98.31891311127396,61.34961301864332,19.63768140524282,95.21009210795171,19.556546735790477,-1.7832584626639147
266.4,98.31894974590898,61.34961141573644,19.63148834992468,95.21817297476127,19.55012764572475,-1.785453407148252
266.5,98.31898636860407,61.349609810831545,19.625395198330878,95.22640388096448,19.54380313268687,-1.7877068555687627
266.6,98.31902297953674,61.34960820387672,19.61940215391156,95.23478058669554,19.537573510497914,-1.790017373882101
266.7,98.31905957888506,61.34960659482133,19.613509428566214,95.24329886160353,19.53143910125565,-1.7923835355184534
266.8,98.31909616682773,61.34960498361604,19.60771724264647,95.2519544851504,19.525400235366092,-1.794803921419102
266.9,98.31913274354409,61.34960337021277,19.6020258249591,95.2607432469029,19.519457251574117,-1.7972771200719353
267.0,98.31916930921408,61.34960175456471,19.596435412769004,95.2696609468187,19.513610496992946,-1.7998017275449456
267.1,98.31920586401831,61.3496001366263,19.59094625180227,95.2787033955268,19.507860327132597,-1.8023763475177552
267.2,98.31924240813814,61.34959851635324,19.5855585962493,95.28786641460232,19.5022071059273,-1.804999591311188
267.3,98.3192789417555,61.34959689370247,19.58027270876806,95.29714583683591,19.496651205761935,-1.8076700779149475
267.4,98.3193154650531,61.34959526863217,19.57508886048715,95.30653750649748,19.491193007497216,-1.8103864340134022
267.5,98.31935197821436,61.349593641101755,19.570007331009073,95.31603727959521,19.48583290049401,-1.8131472940095348
267.6,98.31938848142343,61.34959201107184,19.56502840841343,95.3256410241288,19.480571282636497,-1.8159513000470915
267.7,98.31942497486521,61.34959037850429,19.560152389260015,95.33534462033845,19.47540856035421,-1.8187971020309472
267.8,98.3194614587254,61.34958874336215,19.555379578591978,95.34514396094818,19.47034514864307,-1.8216833576457305
267.9,98.31949793319042,61.349587105609686,19.550710289938895,95.35503495140506,19.46538147108532,-1.8246087323727431
268.0,98.31953439844756,61.34958546521234,19.546144845319677,95.36501351011327,19.460517959868284,-1.8275718995051908
268.1,98.3195708546849,61.34958382213678,19.541683575245486,95.37507556866422,19.455755055802097,-1.830571540161791
268.2,98.31960730209133,61.34958217635081,19.537326818722477,95.38521707206155,19.451093208336314,-1.833606343298751
268.3,98.31964374085663,61.349580527823434,19.53307492325443,95.39543397894249,19.44653287557537,-1.8366750057201817
268.4,98.31968017117144,61.34957887652482,19.52892824484524,95.40572226179478,19.44207452429298,-1.8397762320869588
268.5,98.31971659322727,61.34957722242629,19.524887148001145,95.41607790716961,19.437718629945255,-1.84290873492407
268.6,98.3197530072165,61.349575565500324,19.520952005732926,95.4264969158906,19.433465676682918,-1.8460712346264796
268.7,98.3197894133325,61.34957390572055,19.51712319955769,95.43697530325903,19.4293161573621,-1.849262459463543
268.8,98.3198258117695,61.34957224306172,19.513401119500607,95.4475090992554,19.4252705735542,-1.8524811455820056
268.9,98.31986220272273,61.34957057749975,19.50978616409629,95.45809434873752,19.421329435554483,-1.855726037007616
269.0,98.31989858638833,61.34956890901164,19.506278740389877,95.46872711163508,19.41749326238945,-1.8589958856453783
269.1,98.31993496296347,61.349567237575535,19.502879263937924,95.4794034631409,19.413762581823153,-1.8622894512784753
269.2,98.3199713326463,61.34956556317069,19.499588158808894,95.49011949389899,19.410137930362243,-1.8656055015659117
269.3,98.32000769563597,61.34956388577745,19.49640585758333,95.50087131018972,19.40661985325981,-1.8689428120388814
269.4,98.32004405213269,61.34956220537726,19.493332801353677,95.51165503411181,19.403208904518046,-1.8723001660959087
269.5,98.32008040233767,61.34956052195266,19.490369439723693,95.52246680376157,19.399905646889657,-1.8756763549967808
269.6,98.32011674645322,61.34955883548728,19.487516230807515,95.53330277340962,19.396710651878095,-1.8790701778553194
269.7,98.32015308468273,61.349557145965804,19.484773641228262,95.54415911367465,19.393624499736514,-1.8824804416310004
269.8,98.32018941723067,61.349555453373995,19.482142146116146,95.55503201169506,19.390647779465468,-1.8859059611194635
269.9,98.3202257443026,61.34955375769868,19.479622229106212,95.56591767129811,19.387781088809394,-1.8893455589419461
270.0,98.32026206610527,61.349552058927735,19.477214382335504,95.57681231316667,19.3850250342518,-1.8927980655336494
270.1,98.32029838284652,61.34955035705009,19.47491910643973,95.58771217500407,19.382380231009165,-1.8962623191311059
270.2,98.32033469473538,61.34954865205572,19.472736910549443,95.59861351169707,19.37984730302358,-1.8997371657585276
270.3,98.32037100198202,61.3495469439356,19.470668312285557,95.60951259547642,19.377426882954076,-1.9032214592131997
270.4,98.32040730479785,61.34954523268177,19.468713837754397,95.620405716076,19.375119612166632,-1.9067140610499258
270.5,98.32044360341875,61.34954351822151,19.466913123014834,95.63171089426794,19.372950993215497,-1.9103602679803098
270.6,98.3204798981284,61.34954180035156,19.465305927743795,95.64384622052052,19.370946537424686,-1.91430538443905
270.7,98.32051618923495,61.34954007880391,19.463892985318903,95.65680807812504,19.369106912378143,-1.9185482951470507
270.8,98.3205524770479,61.34953835331156,19.46267504955233,95.67059281805524,19.367432794311746,-1.9230878925012236
270.9,98.32058876187794,61.349536623608465,19.461652894493767,95.68519675888558,19.365924868094737,-1.9279230765430997
271.0,98.32062504403712,61.34953488942959,19.460827314230848,95.70061618669132,19.36458382720893,-1.9330527549220733
271.1,98.32066132383873,61.349533150510894,19.460199122687193,95.71684735493142,19.363410373725742,-1.9384758428532618
271.2,98.32069760159744,61.349531406589264,19.45976915341805,95.73388648431501,19.362405218281193,-1.94419126307004
271.3,98.32073387758795,61.34952965745092,19.459483619895376,95.75142757286415,19.361525001072536,-1.950090353245099
271.4,98.3207701520037,61.34952790297966,19.459288624411055,95.76916478290451,19.360726370735353,-1.9560644584589182
271.5,98.32080642499824,61.34952614310858,19.459184854621935,95.7870945651934,19.36001006329351,-1.962112523664655
271.6,98.32084269672652,61.3495243777717,19.459173006531447,95.80521338137407,19.35937682321608,-1.9682335010984162
271.7,98.32087896734483,61.349522606903996,19.459253784419708,95.8235177038535,19.35882740338459,-1.9744263502138
271.8,98.32091523701095,61.34952083044137,19.45942790077346,95.8420040156758,19.358362565059444,-1.9806900376145848
271.9,98.32095150588407,61.34951904832065,19.459696076215764,95.86066881039153,19.357983077845493,-1.9870235369855993
272.0,98.3209877741248,61.34951726047958,19.460059039435414,95.87950859192262,19.35768971965665,-1.9934258290217723
272.1,98.32102404189524,61.34951546685681,19.460517527116057,95.89851987442376,19.35748327667967,-1.9998959013553972
272.2,98.321060309359,61.34951366739191,19.461072283864947,95.9176991821397,19.357364543336907,-2.00643274848163
272.3,98.32109657668113,61.349511862025345,19.461724062141467,95.93704304925842,19.35733432224831,-2.0130353716822222
272.4,98.32113284402821,61.34951005069847,19.46247362218507,95.95654801976184,19.357393424192246,-2.01970277894755
272.5,98.32116911156837,61.34950823335354,19.463321731943008,95.97621064727173,19.357542668065587,-2.0264339848969133
