sample,t_s,x_est,y_est,vx_est,vy_est,speed_px_s,azimuth_deg,nav_status,terrain,radar_raw,radar_filtered,baro_filtered,hyp_score,last_corr,last_rough,position_uncertainty_px,velocity_uncertainty_px_s,solution_confidence,lon_est,lat_est,v_east_m_s,v_north_m_s,speed_m_s,course_deg,x_true,y_true,lon_true,lat_true,err_px,err_m,x_raw,y_raw,final_fix_corr,final_fix_shift_px
1385,138.5,606.3125674964843,305.2945225638011,1.2995987487318093,0.05071267554527457,1.3005878221659022,92.23465037025943,LOCKED,406.2726257875895,1093.7,1093.7273742124105,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.6799611758927355,0.13833252374289748,0.8945879936218262,98.27133681319347,61.352001532621166,19.26649235984674,-1.5681486226944346,19.33020480892252,94.65319133565123,606.46,305.76,98.27137776666667,61.35187223333333,0.4882679456028355,14.558600347699628,605.9698017487741,304.8297364003787,,
1386,138.6,606.4425323353671,305.2996163003638,1.2996980289239242,0.051162055709226564,1.3007046253216477,92.25425990031283,LOCKED,406.3318227009411,1093.8,1093.668177299059,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.6881766513484195,0.13851312979309688,0.8945879936218262,98.27137291453761,61.35200011769434,19.26796505516851,-1.5820444559864169,19.332804815336864,94.69388399679173,606.59,305.77,98.27141387777779,61.35186945555555,0.4929579464778811,14.708688567770421,606.1022151460254,304.8338770249079,,
1387,138.7,606.572507657714,305.3047557035253,1.2998084180149412,0.05162600752046801,1.3008332591823626,92.27448780249927,LOCKED,406.14011179407566,1093.6,1093.8598882059243,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.6964257715755546,0.13869350065911273,0.8945879936218262,98.27140901879382,61.351998690082354,19.269602447368616,-1.5963908769940274,19.33561590205454,94.73585604822682,606.73,305.77,98.27145276666667,61.35186945555555,0.49117827036723377,14.574619686920274,606.2346285432767,304.8380176494371,,
1388,138.8,606.7024945713075,305.3099422266871,1.2999298538561765,0.05210445571557787,1.3009736735429958,92.29533014134938,LOCKED,405.7047549292938,1094.8,1094.2952450707062,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.7047084467912903,0.13887363725732577,0.8945879936218262,98.27144512626981,61.35199724938147,19.27140361536863,-1.6111855584050356,19.338637909895724,94.77909893311232,606.86,305.78,98.27148887777778,61.35186667777778,0.4957441581294389,14.721590870724059,606.367041940528,304.84215827396633,,
1389,138.9,606.8324941777468,305.3151773157157,1.300062274929214,0.05259732485561992,1.3011258191566604,92.31678294443071,LOCKED,405.5080333209912,1094.3,1094.4919666790088,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.7130245871025465,0.13905354049818114,0.8945879936218262,98.2714812372716,61.35199579519008,19.27336764743282,-1.6264261674798914,19.341870709716098,94.82360400380406,606.99,305.79,98.2715249888889,61.3518639,0.5002645955438525,14.867086624927763,606.4994553377793,304.84629889849555,,
1390,139.0,606.9625075725103,305.3204624089244,1.3002056203414918,0.05310453931862785,1.3012896477202327,92.3388422025904,LOCKED,405.57458512954395,1094.6,1094.425414870456,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.721374102515338,0.139233211286242,0.8945879936218262,98.27151735210349,61.35199432710863,19.275493641102802,-1.6421103658193479,19.345314201680104,94.86936252222864,607.12,305.79,98.2715611,61.3518639,0.49524682144329946,14.705678953729569,606.6318687350306,304.85043952302476,,
1391,139.1,607.0925358450185,305.3257989370549,1.3003598298217276,0.05362602329185441,1.301465111859742,92.36150387018415,LOCKED,405.4326458943285,1093.4,1094.5673541056715,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.7297569029439623,0.13941265052024263,0.8945879936218262,98.27155347106806,61.351992844739705,19.277780703129686,-1.6582358091247869,19.348968314528374,94.91636566022771,607.26,305.8,98.2715999888889,61.35186112222222,0.5029024669873271,14.872034999639993,606.7642821322819,304.854580147554,,
1392,139.2,607.2225800786953,305.3311883232577,1.3005248437151817,0.054161700763785736,1.3016521651155595,92.38476386529226,LOCKED,405.1380164115876,1094.9,1094.8619835884124,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.738172898220057,0.13959185909314092,0.8945879936218262,98.2715895944663,61.35199134768798,19.280227949403894,-1.6748001469512854,19.35283300483945,94.96460449987808,607.39,305.81,98.27163610000001,61.351858344444445,0.5072376679964058,15.012515339144597,606.8966955295332,304.8587207720832,,
1393,139.3,607.3526412684408,305.33663193504134,1.3006989511961653,0.054710534907881414,1.3018490712339548,92.4085788850274,LOCKED,405.0586944450147,1095.1,1094.9413055549853,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.746621998101523,0.13977083789217015,0.8945879936218262,98.27162572257457,61.3519898355736,19.282810017263333,-1.6917713183181553,19.356881266241086,95.01398878191787,607.52,305.81,98.27167221111111,61.351858344444445,0.5020819354963848,14.846377681761242,607.0291089267845,304.8628613966124,,
1394,139.4,607.4827202381028,305.34213103622085,1.300880442045592,0.055271488682170265,1.3020540933301803,92.43290574227666,LOCKED,405.1476097736004,1094.7,1094.8523902263996,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.755104112281317,0.13994958779889033,0.8945879936218262,98.2716618556217,61.35198830804549,19.28550155301667,-1.7091172555831093,19.361086021831014,95.06442851122472,607.66,305.82,98.2717111,61.351855566666664,0.5096929080550903,15.008671611041638,607.1615223240358,304.8670020211416,,
